failure_datetime,date,time,hour,day_of_week,location,failure_type,weather,temperature_celsius,is_peak_hour,is_weekend,repair_time_minutes,passengers_affected,trains_affected,is_rainy,month,season
2022-02-13,2022-02-13,00:00:00,0,Sunday,Farringdon,Interlocking,Rainy,2,0,1,37,692,3,1,2,Winter
2022-02-14,2022-02-14,00:00:00,0,Monday,Piccadilly Circus,Power Supply,Cloudy,4,0,0,34,539,4,0,2,Winter
2022-02-15,2022-02-15,00:00:00,0,Tuesday,King's Cross St Pancras,Cable/Connector,Cloudy,0,0,0,21,964,3,0,2,Winter
2022-02-17,2022-02-17,00:00:00,0,Thursday,Victoria,Cable/Connector,Foggy,9,0,0,74,1339,5,0,2,Winter
2022-02-18,2022-02-18,00:00:00,0,Friday,Euston,Cable/Connector,Rainy,12,0,0,92,3060,9,1,2,Winter
2022-02-19,2022-02-19,00:00:00,0,Saturday,Whitechapel,Power Supply,Clear,0,0,1,43,1043,5,0,2,Winter
2022-02-20,2022-02-20,00:00:00,0,Sunday,Clapham Junction,Track Circuit,Rainy,0,0,1,48,1621,5,1,2,Winter
2022-02-21,2022-02-21,00:00:00,0,Monday,Farringdon,Power Supply,Rainy,12,0,0,72,1150,5,1,2,Winter
2022-02-22,2022-02-22,00:00:00,0,Tuesday,Farringdon,Interlocking,Cloudy,0,0,0,60,2777,6,0,2,Winter
2022-02-23,2022-02-23,00:00:00,0,Wednesday,Liverpool Street,Interlocking,Foggy,7,0,0,86,1859,6,0,2,Winter
2022-02-24,2022-02-24,00:00:00,0,Thursday,Victoria,Power Supply,Rainy,7,0,0,41,898,4,1,2,Winter
2022-02-25,2022-02-25,00:00:00,0,Friday,Victoria,Track Circuit,Clear,6,0,0,27,784,4,0,2,Winter
2022-02-26,2022-02-26,00:00:00,0,Saturday,Paddington,Interlocking,Clear,7,0,1,53,1378,5,0,2,Winter
2022-02-27,2022-02-27,00:00:00,0,Sunday,King's Cross St Pancras,Cable/Connector,Cloudy,8,0,1,39,962,4,0,2,Winter
2022-02-28,2022-02-28,00:00:00,0,Monday,Moorgate,Track Circuit,Clear,3,0,0,20,752,4,0,2,Winter
2022-03-01,2022-03-01,00:00:00,0,Tuesday,Baker Street,Software/Electronics,Snowy,17,0,0,28,305,3,1,3,Spring
2022-03-02,2022-03-02,00:00:00,0,Wednesday,Bank,Track Circuit,Clear,19,0,0,73,2682,6,0,3,Spring
2022-03-03,2022-03-03,00:00:00,0,Thursday,Whitechapel,Software/Electronics,Rainy,27,0,0,54,1065,5,1,3,Spring
2022-03-04,2022-03-04,00:00:00,0,Friday,Farringdon,Track Circuit,Clear,11,0,0,43,1724,3,0,3,Spring
2022-03-05,2022-03-05,00:00:00,0,Saturday,Vauxhall,Track Circuit,Clear,8,0,1,64,1443,5,0,3,Spring
2022-03-06,2022-03-06,00:00:00,0,Sunday,Covent Garden,Track Circuit,Clear,14,0,1,47,925,6,0,3,Spring
2022-03-07,2022-03-07,00:00:00,0,Monday,Angel,Software/Electronics,Clear,7,0,0,35,1222,3,0,3,Spring
2022-03-09,2022-03-09,00:00:00,0,Wednesday,Liverpool Street,Track Circuit,Cloudy,19,0,0,137,1753,11,0,3,Spring
2022-03-10,2022-03-10,00:00:00,0,Thursday,Old Street,Other,Rainy,10,0,0,66,2541,6,1,3,Spring
2022-03-11,2022-03-11,00:00:00,0,Friday,Southwark,Interlocking,Clear,15,0,0,57,1436,6,0,3,Spring
2022-03-12,2022-03-12,00:00:00,0,Saturday,Baker Street,Track Circuit,Foggy,10,0,1,23,629,2,0,3,Spring
2022-03-13,2022-03-13,00:00:00,0,Sunday,Piccadilly Circus,Software/Electronics,Rainy,18,0,1,52,2421,6,1,3,Spring
2022-03-14,2022-03-14,00:00:00,0,Monday,Piccadilly Circus,Track Circuit,Cloudy,10,0,0,40,1005,5,0,3,Spring
2022-03-15,2022-03-15,00:00:00,0,Tuesday,Holborn,Track Circuit,Stormy,14,0,0,120,4270,11,1,3,Spring
2022-03-16,2022-03-16,00:00:00,0,Wednesday,Bank,Track Circuit,Cloudy,6,0,0,113,5629,8,0,3,Spring
2022-03-17,2022-03-17,00:00:00,0,Thursday,Borough,Interlocking,Cloudy,18,0,0,72,1002,7,0,3,Spring
2022-03-18,2022-03-18,00:00:00,0,Friday,Bank,Power Supply,Clear,12,0,0,52,1895,5,0,3,Spring
2022-03-19,2022-03-19,00:00:00,0,Saturday,Southwark,Power Supply,Cloudy,10,0,1,46,1637,6,0,3,Spring
2022-03-20,2022-03-20,00:00:00,0,Sunday,Old Street,Power Supply,Rainy,14,0,1,26,339,4,1,3,Spring
2022-03-22,2022-03-22,00:00:00,0,Tuesday,Vauxhall,Track Circuit,Clear,12,0,0,45,956,5,0,3,Spring
2022-03-23,2022-03-23,00:00:00,0,Wednesday,Southwark,Interlocking,Rainy,8,0,0,26,574,2,1,3,Spring
2022-03-24,2022-03-24,00:00:00,0,Thursday,King's Cross St Pancras,Power Supply,Cloudy,14,0,0,49,959,4,0,3,Spring
2022-03-25,2022-03-25,00:00:00,0,Friday,Holborn,Track Circuit,Rainy,7,0,0,26,1145,3,1,3,Spring
2022-03-26,2022-03-26,00:00:00,0,Saturday,Whitechapel,Track Circuit,Snowy,16,0,1,74,2525,6,1,3,Spring
2022-03-27,2022-03-27,00:00:00,0,Sunday,King's Cross,Software/Electronics,Clear,2,0,1,44,803,4,0,3,Spring
2022-03-28,2022-03-28,00:00:00,0,Monday,Angel,Software/Electronics,Clear,15,0,0,31,462,4,0,3,Spring
2022-03-29,2022-03-29,00:00:00,0,Tuesday,King's Cross St Pancras,Other,Rainy,11,0,0,85,1912,7,1,3,Spring
2022-03-30,2022-03-30,00:00:00,0,Wednesday,Vauxhall,Interlocking,Clear,8,0,0,50,1660,6,0,3,Spring
2022-03-31,2022-03-31,00:00:00,0,Thursday,Euston,Software/Electronics,Rainy,11,0,0,31,585,3,1,3,Spring
2022-04-01,2022-04-01,00:00:00,0,Friday,Bank,Interlocking,Foggy,10,0,0,27,653,2,0,4,Spring
2022-04-03,2022-04-03,00:00:00,0,Sunday,Paddington,Power Supply,Clear,9,0,1,44,1992,5,0,4,Spring
2022-04-04,2022-04-04,00:00:00,0,Monday,Holborn,Interlocking,Foggy,7,0,0,52,1685,5,0,4,Spring
2022-04-05,2022-04-05,00:00:00,0,Tuesday,Victoria,Other,Clear,10,0,0,89,1498,7,0,4,Spring
2022-04-06,2022-04-06,00:00:00,0,Wednesday,Victoria,Cable/Connector,Cloudy,8,0,0,87,3349,8,0,4,Spring
2022-04-07,2022-04-07,00:00:00,0,Thursday,Borough,Software/Electronics,Cloudy,11,0,0,49,439,4,0,4,Spring
2022-04-08,2022-04-08,00:00:00,0,Friday,Angel,Interlocking,Clear,4,0,0,81,2947,6,0,4,Spring
2022-04-10,2022-04-10,00:00:00,0,Sunday,Elephant & Castle,Track Circuit,Clear,15,0,1,98,4076,9,0,4,Spring
2022-04-11,2022-04-11,00:00:00,0,Monday,Paddington,Track Circuit,Cloudy,11,0,0,35,833,3,0,4,Spring
2022-04-12,2022-04-12,00:00:00,0,Tuesday,Bank,Track Circuit,Snowy,12,0,0,92,2686,8,1,4,Spring
2022-04-13,2022-04-13,00:00:00,0,Wednesday,Southwark,Track Circuit,Rainy,8,0,0,49,1548,6,1,4,Spring
2022-04-15,2022-04-15,00:00:00,0,Friday,King's Cross St Pancras,Power Supply,Clear,12,0,0,47,1451,5,0,4,Spring
2022-04-16,2022-04-16,00:00:00,0,Saturday,Euston,Other,Foggy,8,0,1,138,3521,10,0,4,Spring
2022-04-17,2022-04-17,00:00:00,0,Sunday,Southwark,Track Circuit,Cloudy,9,0,1,21,363,4,0,4,Spring
2022-04-19,2022-04-19,00:00:00,0,Tuesday,Farringdon,Track Circuit,Stormy,13,0,0,30,712,4,1,4,Spring
2022-04-20,2022-04-20,00:00:00,0,Wednesday,Southwark,Track Circuit,Clear,14,0,0,56,1127,6,0,4,Spring
2022-04-21,2022-04-21,00:00:00,0,Thursday,King's Cross St Pancras,Power Supply,Cloudy,10,0,0,66,795,6,0,4,Spring
2022-04-22,2022-04-22,00:00:00,0,Friday,Farringdon,Other,Clear,17,0,0,36,712,3,0,4,Spring
2022-04-23,2022-04-23,00:00:00,0,Saturday,Covent Garden,Software/Electronics,Cloudy,9,0,1,21,355,2,0,4,Spring
2022-04-24,2022-04-24,00:00:00,0,Sunday,Whitechapel,Power Supply,Cloudy,12,0,1,48,970,6,0,4,Spring
2022-04-25,2022-04-25,00:00:00,0,Monday,St Pancras,Software/Electronics,Clear,11,0,0,20,183,3,0,4,Spring
2022-04-26,2022-04-26,00:00:00,0,Tuesday,Whitechapel,Track Circuit,Clear,13,0,0,70,3011,7,0,4,Spring
2022-04-27,2022-04-27,00:00:00,0,Wednesday,Liverpool Street,Interlocking,Clear,20,0,0,51,2265,5,0,4,Spring
2022-04-28,2022-04-28,00:00:00,0,Thursday,Victoria,Software/Electronics,Clear,22,0,0,26,759,4,0,4,Spring
2022-04-29,2022-04-29,00:00:00,0,Friday,King's Cross St Pancras,Power Supply,Rainy,10,0,0,40,842,3,1,4,Spring
2022-05-01,2022-05-01,00:00:00,0,Sunday,Borough,Other,Cloudy,20,0,1,82,4075,6,0,5,Spring
2022-05-03,2022-05-03,00:00:00,0,Tuesday,King's Cross St Pancras,Cable/Connector,Clear,12,0,0,87,2202,7,0,5,Spring
2022-05-04,2022-05-04,00:00:00,0,Wednesday,Waterloo,Track Circuit,Cloudy,14,0,0,93,987,7,0,5,Spring
2022-05-05,2022-05-05,00:00:00,0,Thursday,Southwark,Cable/Connector,Cloudy,5,0,0,44,1906,3,0,5,Spring
2022-05-06,2022-05-06,00:00:00,0,Friday,Piccadilly Circus,Track Circuit,Clear,15,0,0,20,886,3,0,5,Spring
2022-05-07,2022-05-07,00:00:00,0,Saturday,London Bridge,Track Circuit,Clear,13,0,1,26,961,3,0,5,Spring
2022-05-08,2022-05-08,00:00:00,0,Sunday,Paddington,Interlocking,Foggy,12,0,1,64,597,5,0,5,Spring
2022-05-09,2022-05-09,00:00:00,0,Monday,Moorgate,Track Circuit,Clear,8,0,0,44,1413,4,0,5,Spring
2022-05-10,2022-05-10,00:00:00,0,Tuesday,Holborn,Interlocking,Cloudy,10,0,0,67,2755,7,0,5,Spring
2022-05-11,2022-05-11,00:00:00,0,Wednesday,Clapham Junction,Interlocking,Rainy,12,0,0,35,1689,3,1,5,Spring
2022-05-12,2022-05-12,00:00:00,0,Thursday,Clapham Junction,Track Circuit,Clear,8,0,0,65,2399,5,0,5,Spring
2022-05-13,2022-05-13,00:00:00,0,Friday,Covent Garden,Track Circuit,Clear,10,0,0,131,5731,10,0,5,Spring
2022-05-14,2022-05-14,00:00:00,0,Saturday,Covent Garden,Interlocking,Rainy,13,0,1,76,3686,8,1,5,Spring
2022-05-15,2022-05-15,00:00:00,0,Sunday,Whitechapel,Interlocking,Clear,2,0,1,83,2372,7,0,5,Spring
2022-05-16,2022-05-16,00:00:00,0,Monday,Holborn,Track Circuit,Clear,7,0,0,40,690,3,0,5,Spring
2022-05-17,2022-05-17,00:00:00,0,Tuesday,Whitechapel,Cable/Connector,Cloudy,14,0,0,79,3497,7,0,5,Spring
2022-05-18,2022-05-18,00:00:00,0,Wednesday,Euston,Interlocking,Cloudy,18,0,0,57,2823,5,0,5,Spring
2022-05-19,2022-05-19,00:00:00,0,Thursday,Borough,Track Circuit,Foggy,14,0,0,23,1097,3,0,5,Spring
2022-05-20,2022-05-20,00:00:00,0,Friday,St Pancras,Other,Cloudy,11,0,0,46,1711,4,0,5,Spring
2022-05-21,2022-05-21,00:00:00,0,Saturday,Borough,Interlocking,Cloudy,12,0,1,67,2646,6,0,5,Spring
2022-05-22,2022-05-22,00:00:00,0,Sunday,St Pancras,Software/Electronics,Clear,8,0,1,42,1374,5,0,5,Spring
2022-05-23,2022-05-23,00:00:00,0,Monday,Clapham Junction,Software/Electronics,Cloudy,11,0,0,55,1987,4,0,5,Spring
2022-05-24,2022-05-24,00:00:00,0,Tuesday,Borough,Track Circuit,Clear,1,0,0,68,693,6,0,5,Spring
2022-05-25,2022-05-25,00:00:00,0,Wednesday,Holborn,Interlocking,Rainy,12,0,0,50,2014,5,1,5,Spring
2022-05-26,2022-05-26,00:00:00,0,Thursday,Euston,Track Circuit,Cloudy,12,0,0,42,832,4,0,5,Spring
2022-05-27,2022-05-27,00:00:00,0,Friday,King's Cross St Pancras,Interlocking,Cloudy,12,0,0,21,591,3,0,5,Spring
2022-05-28,2022-05-28,00:00:00,0,Saturday,Borough,Software/Electronics,Clear,15,0,1,51,2119,5,0,5,Spring
2022-05-31,2022-05-31,00:00:00,0,Tuesday,Stratford,Interlocking,Cloudy,12,0,0,40,1402,4,0,5,Spring
2022-06-01,2022-06-01,00:00:00,0,Wednesday,Bank,Software/Electronics,Snowy,16,0,0,56,1549,4,1,6,Summer
2022-06-02,2022-06-02,00:00:00,0,Thursday,Whitechapel,Track Circuit,Clear,19,0,0,65,2551,6,0,6,Summer
2022-06-04,2022-06-04,00:00:00,0,Saturday,Holborn,Software/Electronics,Rainy,19,0,1,59,1783,5,1,6,Summer
2022-06-05,2022-06-05,00:00:00,0,Sunday,Holborn,Track Circuit,Rainy,24,0,1,88,925,7,1,6,Summer
2022-06-06,2022-06-06,00:00:00,0,Monday,King's Cross St Pancras,Track Circuit,Cloudy,23,0,0,46,854,5,0,6,Summer
2022-06-07,2022-06-07,00:00:00,0,Tuesday,Waterloo,Interlocking,Cloudy,15,0,0,74,3317,7,0,6,Summer
2022-06-08,2022-06-08,00:00:00,0,Wednesday,Vauxhall,Power Supply,Clear,10,0,0,53,1166,5,0,6,Summer
2022-06-09,2022-06-09,00:00:00,0,Thursday,Waterloo,Cable/Connector,Cloudy,21,0,0,21,689,4,0,6,Summer
2022-06-11,2022-06-11,00:00:00,0,Saturday,St Pancras,Track Circuit,Foggy,17,0,1,127,3009,11,0,6,Summer
2022-06-12,2022-06-12,00:00:00,0,Sunday,King's Cross,Software/Electronics,Clear,15,0,1,20,483,4,0,6,Summer
2022-06-13,2022-06-13,00:00:00,0,Monday,Angel,Track Circuit,Clear,23,0,0,58,2286,5,0,6,Summer
2022-06-15,2022-06-15,00:00:00,0,Wednesday,Piccadilly Circus,Track Circuit,Rainy,15,0,0,66,2853,5,1,6,Summer
2022-06-16,2022-06-16,00:00:00,0,Thursday,Covent Garden,Interlocking,Rainy,17,0,0,58,2373,5,1,6,Summer
2022-06-17,2022-06-17,00:00:00,0,Friday,Whitechapel,Interlocking,Clear,16,0,0,20,788,4,0,6,Summer
2022-06-18,2022-06-18,00:00:00,0,Saturday,Stratford,Track Circuit,Clear,16,0,1,20,287,4,0,6,Summer
2022-06-19,2022-06-19,00:00:00,0,Sunday,Baker Street,Track Circuit,Cloudy,18,0,1,139,4955,12,0,6,Summer
2022-06-20,2022-06-20,00:00:00,0,Monday,Old Street,Cable/Connector,Snowy,19,0,0,131,5159,11,1,6,Summer
2022-06-21,2022-06-21,00:00:00,0,Tuesday,Old Street,Power Supply,Rainy,17,0,0,35,320,5,1,6,Summer
2022-06-22,2022-06-22,00:00:00,0,Wednesday,St Pancras,Software/Electronics,Snowy,20,0,0,46,1637,4,1,6,Summer
2022-06-23,2022-06-23,00:00:00,0,Thursday,Euston,Other,Rainy,21,0,0,72,1722,5,1,6,Summer
2022-06-24,2022-06-24,00:00:00,0,Friday,Euston,Power Supply,Clear,19,0,0,24,1144,4,0,6,Summer
2022-06-25,2022-06-25,00:00:00,0,Saturday,King's Cross,Track Circuit,Clear,11,0,1,85,3714,7,0,6,Summer
2022-06-26,2022-06-26,00:00:00,0,Sunday,Borough,Cable/Connector,Cloudy,17,0,1,74,1773,5,0,6,Summer
2022-06-27,2022-06-27,00:00:00,0,Monday,Holborn,Track Circuit,Foggy,13,0,0,85,2412,7,0,6,Summer
2022-06-28,2022-06-28,00:00:00,0,Tuesday,Angel,Interlocking,Foggy,12,0,0,82,1586,6,0,6,Summer
2022-06-29,2022-06-29,00:00:00,0,Wednesday,Liverpool Street,Track Circuit,Clear,18,0,0,73,1445,6,0,6,Summer
2022-06-30,2022-06-30,00:00:00,0,Thursday,Southwark,Power Supply,Foggy,18,0,0,23,316,4,0,6,Summer
2022-07-01,2022-07-01,00:00:00,0,Friday,Elephant & Castle,Power Supply,Clear,20,0,0,24,488,2,0,7,Summer
2022-07-02,2022-07-02,00:00:00,0,Saturday,Stratford,Track Circuit,Cloudy,22,0,1,21,897,2,0,7,Summer
2022-07-03,2022-07-03,00:00:00,0,Sunday,Farringdon,Track Circuit,Rainy,23,0,1,171,4662,13,1,7,Summer
2022-07-04,2022-07-04,00:00:00,0,Monday,Moorgate,Interlocking,Cloudy,16,0,0,37,341,5,0,7,Summer
2022-07-05,2022-07-05,00:00:00,0,Tuesday,Baker Street,Cable/Connector,Clear,14,0,0,70,3073,5,0,7,Summer
2022-07-06,2022-07-06,00:00:00,0,Wednesday,Baker Street,Other,Rainy,21,0,0,61,825,6,1,7,Summer
2022-07-07,2022-07-07,00:00:00,0,Thursday,Piccadilly Circus,Track Circuit,Clear,17,0,0,62,1846,7,0,7,Summer
2022-07-08,2022-07-08,00:00:00,0,Friday,Southwark,Track Circuit,Clear,19,0,0,81,1283,6,0,7,Summer
2022-07-09,2022-07-09,00:00:00,0,Saturday,Borough,Cable/Connector,Clear,15,0,1,20,833,2,0,7,Summer
2022-07-10,2022-07-10,00:00:00,0,Sunday,Paddington,Track Circuit,Clear,14,0,1,69,668,5,0,7,Summer
2022-07-11,2022-07-11,00:00:00,0,Monday,St Pancras,Cable/Connector,Rainy,15,0,0,26,827,4,1,7,Summer
2022-07-12,2022-07-12,00:00:00,0,Tuesday,St Pancras,Interlocking,Clear,21,0,0,33,978,4,0,7,Summer
2022-07-14,2022-07-14,00:00:00,0,Thursday,Farringdon,Power Supply,Cloudy,17,0,0,46,1446,5,0,7,Summer
2022-07-15,2022-07-15,00:00:00,0,Friday,Liverpool Street,Track Circuit,Foggy,17,0,0,102,1065,8,0,7,Summer
2022-07-16,2022-07-16,00:00:00,0,Saturday,Waterloo,Track Circuit,Cloudy,18,0,1,116,1422,9,0,7,Summer
2022-07-17,2022-07-17,00:00:00,0,Sunday,Farringdon,Interlocking,Clear,23,0,1,20,313,2,0,7,Summer
2022-07-18,2022-07-18,00:00:00,0,Monday,Borough,Cable/Connector,Rainy,19,0,0,94,4190,8,1,7,Summer
2022-07-19,2022-07-19,00:00:00,0,Tuesday,St Pancras,Track Circuit,Cloudy,12,0,0,75,2376,8,0,7,Summer
2022-07-21,2022-07-21,00:00:00,0,Thursday,St Pancras,Software/Electronics,Clear,16,0,0,28,534,3,0,7,Summer
2022-07-22,2022-07-22,00:00:00,0,Friday,Holborn,Software/Electronics,Clear,24,0,0,33,1214,4,0,7,Summer
2022-07-23,2022-07-23,00:00:00,0,Saturday,Euston,Software/Electronics,Cloudy,22,0,1,29,304,3,0,7,Summer
2022-07-24,2022-07-24,00:00:00,0,Sunday,Victoria,Track Circuit,Rainy,15,0,1,84,1810,8,1,7,Summer
2022-07-25,2022-07-25,00:00:00,0,Monday,Whitechapel,Track Circuit,Rainy,17,0,0,109,1246,9,1,7,Summer
2022-07-26,2022-07-26,00:00:00,0,Tuesday,Waterloo,Track Circuit,Cloudy,17,0,0,128,2681,11,0,7,Summer
2022-07-27,2022-07-27,00:00:00,0,Wednesday,Farringdon,Track Circuit,Cloudy,12,0,0,71,2676,6,0,7,Summer
2022-07-28,2022-07-28,00:00:00,0,Thursday,Covent Garden,Software/Electronics,Rainy,24,0,0,35,1528,3,1,7,Summer
2022-07-29,2022-07-29,00:00:00,0,Friday,Euston,Track Circuit,Rainy,17,0,0,154,6645,11,1,7,Summer
2022-08-01,2022-08-01,00:00:00,0,Monday,Euston,Interlocking,Clear,16,0,0,37,949,4,0,8,Summer
2022-08-02,2022-08-02,00:00:00,0,Tuesday,King's Cross St Pancras,Other,Cloudy,13,0,0,63,750,6,0,8,Summer
2022-08-03,2022-08-03,00:00:00,0,Wednesday,Euston,Software/Electronics,Cloudy,20,0,0,49,987,5,0,8,Summer
2022-08-04,2022-08-04,00:00:00,0,Thursday,Victoria,Other,Foggy,21,0,0,109,1794,8,0,8,Summer
2022-08-05,2022-08-05,00:00:00,0,Friday,King's Cross,Cable/Connector,Clear,18,0,0,60,2317,5,0,8,Summer
2022-08-06,2022-08-06,00:00:00,0,Saturday,Piccadilly Circus,Power Supply,Foggy,17,0,1,55,1852,5,0,8,Summer
2022-08-07,2022-08-07,00:00:00,0,Sunday,Victoria,Interlocking,Rainy,9,0,1,101,1875,7,1,8,Summer
2022-08-08,2022-08-08,00:00:00,0,Monday,Whitechapel,Track Circuit,Cloudy,17,0,0,48,1296,6,0,8,Summer
2022-08-10,2022-08-10,00:00:00,0,Wednesday,Paddington,Cable/Connector,Cloudy,14,0,0,21,188,3,0,8,Summer
2022-08-11,2022-08-11,00:00:00,0,Thursday,Borough,Track Circuit,Cloudy,21,0,0,42,360,4,0,8,Summer
2022-08-12,2022-08-12,00:00:00,0,Friday,St Pancras,Interlocking,Foggy,10,0,0,23,400,4,0,8,Summer
2022-08-13,2022-08-13,00:00:00,0,Saturday,King's Cross St Pancras,Track Circuit,Foggy,18,0,1,93,3741,9,0,8,Summer
2022-08-14,2022-08-14,00:00:00,0,Sunday,Elephant & Castle,Other,Clear,22,0,1,39,483,5,0,8,Summer
2022-08-15,2022-08-15,00:00:00,0,Monday,Angel,Interlocking,Cloudy,13,0,0,29,686,4,0,8,Summer
2022-08-16,2022-08-16,00:00:00,0,Tuesday,Paddington,Track Circuit,Cloudy,17,0,0,21,886,3,0,8,Summer
2022-08-17,2022-08-17,00:00:00,0,Wednesday,Euston,Track Circuit,Clear,18,0,0,58,1414,4,0,8,Summer
2022-08-18,2022-08-18,00:00:00,0,Thursday,Bank,Track Circuit,Snowy,17,0,0,124,3771,11,1,8,Summer
2022-08-19,2022-08-19,00:00:00,0,Friday,Elephant & Castle,Power Supply,Foggy,16,0,0,42,1283,4,0,8,Summer
2022-08-21,2022-08-21,00:00:00,0,Sunday,King's Cross,Power Supply,Cloudy,16,0,1,28,1290,4,0,8,Summer
2022-08-22,2022-08-22,00:00:00,0,Monday,London Bridge,Track Circuit,Snowy,19,0,0,103,949,7,1,8,Summer
2022-08-23,2022-08-23,00:00:00,0,Tuesday,Borough,Other,Foggy,14,0,0,49,1101,5,0,8,Summer
2022-08-24,2022-08-24,00:00:00,0,Wednesday,Whitechapel,Power Supply,Clear,19,0,0,28,649,3,0,8,Summer
2022-08-25,2022-08-25,00:00:00,0,Thursday,Victoria,Interlocking,Cloudy,18,0,0,24,856,4,0,8,Summer
2022-08-26,2022-08-26,00:00:00,0,Friday,London Bridge,Interlocking,Clear,17,0,0,29,896,4,0,8,Summer
2022-08-27,2022-08-27,00:00:00,0,Saturday,Euston,Track Circuit,Clear,18,0,1,63,1557,6,0,8,Summer
2022-08-28,2022-08-28,00:00:00,0,Sunday,King's Cross,Track Circuit,Clear,18,0,1,52,1224,5,0,8,Summer
