failure_datetime,date,time,hour,location,temperature_celsius,is_peak_hour,is_weekend,repair_time_minutes,passengers_affected,trains_affected,is_rainy,month,failure_type_Interlocking,failure_type_Other,failure_type_Power Supply,failure_type_Software/Electronics,failure_type_Track Circuit,weather_Cloudy,weather_Foggy,weather_Rainy,weather_Snowy,weather_Stormy,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,season_Spring,season_Summer,season_Winter
2022-02-06,2022-02-06,00:00:00,0,King's Cross,0,0,1,96,1123,7,1,2,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
2022-02-08,2022-02-08,00:00:00,0,Moorgate,10,0,0,41,476,4,0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2022-02-09,2022-02-09,00:00:00,0,Covent Garden,6,0,0,42,480,4,1,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
2022-02-10,2022-02-10,00:00:00,0,Euston,8,0,0,111,5457,9,0,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2022-02-11,2022-02-11,00:00:00,0,Old Street,3,0,0,31,510,3,1,2,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2022-02-12,2022-02-12,00:00:00,0,Stratford,3,0,1,24,1079,3,0,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-02-13,2022-02-13,00:00:00,0,Farringdon,2,0,1,37,692,3,1,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2022-02-14,2022-02-14,00:00:00,0,Piccadilly Circus,4,0,0,34,539,4,0,2,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
2022-02-15,2022-02-15,00:00:00,0,King's Cross St Pancras,0,0,0,21,964,3,0,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2022-02-17,2022-02-17,00:00:00,0,Victoria,9,0,0,74,1339,5,0,2,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
2022-02-18,2022-02-18,00:00:00,0,Euston,12,0,0,92,3060,9,1,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2022-02-19,2022-02-19,00:00:00,0,Whitechapel,0,0,1,43,1043,5,0,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-02-20,2022-02-20,00:00:00,0,Clapham Junction,0,0,1,48,1621,5,1,2,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2022-02-21,2022-02-21,00:00:00,0,Farringdon,12,0,0,72,1150,5,1,2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
2022-02-22,2022-02-22,00:00:00,0,Farringdon,0,0,0,60,2777,6,0,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2022-02-23,2022-02-23,00:00:00,0,Liverpool Street,7,0,0,86,1859,6,0,2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2022-02-24,2022-02-24,00:00:00,0,Victoria,7,0,0,41,898,4,1,2,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
2022-02-25,2022-02-25,00:00:00,0,Victoria,6,0,0,27,784,4,0,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2022-02-26,2022-02-26,00:00:00,0,Paddington,7,0,1,53,1378,5,0,2,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-02-27,2022-02-27,00:00:00,0,King's Cross St Pancras,8,0,1,39,962,4,0,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
2022-02-28,2022-02-28,00:00:00,0,Moorgate,3,0,0,20,752,4,0,2,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2022-03-01,2022-03-01,00:00:00,0,Baker Street,17,0,0,28,305,3,1,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2022-03-02,2022-03-02,00:00:00,0,Bank,19,0,0,73,2682,6,0,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2022-03-03,2022-03-03,00:00:00,0,Whitechapel,27,0,0,54,1065,5,1,3,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2022-03-04,2022-03-04,00:00:00,0,Farringdon,11,0,0,43,1724,3,0,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-03-05,2022-03-05,00:00:00,0,Vauxhall,8,0,1,64,1443,5,0,3,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2022-03-06,2022-03-06,00:00:00,0,Covent Garden,14,0,1,47,925,6,0,3,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2022-03-07,2022-03-07,00:00:00,0,Angel,7,0,0,35,1222,3,0,3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2022-03-09,2022-03-09,00:00:00,0,Liverpool Street,19,0,0,137,1753,11,0,3,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
2022-03-10,2022-03-10,00:00:00,0,Old Street,10,0,0,66,2541,6,1,3,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2022-03-11,2022-03-11,00:00:00,0,Southwark,15,0,0,57,1436,6,0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-03-12,2022-03-12,00:00:00,0,Baker Street,10,0,1,23,629,2,0,3,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2022-03-13,2022-03-13,00:00:00,0,Piccadilly Circus,18,0,1,52,2421,6,1,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2022-03-14,2022-03-14,00:00:00,0,Piccadilly Circus,10,0,0,40,1005,5,0,3,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2022-03-15,2022-03-15,00:00:00,0,Holborn,14,0,0,120,4270,11,1,3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
2022-03-16,2022-03-16,00:00:00,0,Bank,6,0,0,113,5629,8,0,3,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
2022-03-17,2022-03-17,00:00:00,0,Borough,18,0,0,72,1002,7,0,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
2022-03-18,2022-03-18,00:00:00,0,Bank,12,0,0,52,1895,5,0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-03-19,2022-03-19,00:00:00,0,Southwark,10,0,1,46,1637,6,0,3,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2022-03-20,2022-03-20,00:00:00,0,Old Street,14,0,1,26,339,4,1,3,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2022-03-22,2022-03-22,00:00:00,0,Vauxhall,12,0,0,45,956,5,0,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2022-03-23,2022-03-23,00:00:00,0,Southwark,8,0,0,26,574,2,1,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
2022-03-24,2022-03-24,00:00:00,0,King's Cross St Pancras,14,0,0,49,959,4,0,3,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
2022-03-25,2022-03-25,00:00:00,0,Holborn,7,0,0,26,1145,3,1,3,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2022-03-26,2022-03-26,00:00:00,0,Whitechapel,16,0,1,74,2525,6,1,3,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
2022-03-27,2022-03-27,00:00:00,0,King's Cross,2,0,1,44,803,4,0,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2022-03-28,2022-03-28,00:00:00,0,Angel,15,0,0,31,462,4,0,3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2022-03-29,2022-03-29,00:00:00,0,King's Cross St Pancras,11,0,0,85,1912,7,1,3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
2022-03-30,2022-03-30,00:00:00,0,Vauxhall,8,0,0,50,1660,6,0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2022-03-31,2022-03-31,00:00:00,0,Euston,11,0,0,31,585,3,1,3,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2022-04-01,2022-04-01,00:00:00,0,Bank,10,0,0,27,653,2,0,4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2022-04-03,2022-04-03,00:00:00,0,Paddington,9,0,1,44,1992,5,0,4,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2022-04-04,2022-04-04,00:00:00,0,Holborn,7,0,0,52,1685,5,0,4,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
2022-04-05,2022-04-05,00:00:00,0,Victoria,10,0,0,89,1498,7,0,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2022-04-06,2022-04-06,00:00:00,0,Victoria,8,0,0,87,3349,8,0,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
2022-04-07,2022-04-07,00:00:00,0,Borough,11,0,0,49,439,4,0,4,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
2022-04-08,2022-04-08,00:00:00,0,Angel,4,0,0,81,2947,6,0,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-04-10,2022-04-10,00:00:00,0,Elephant & Castle,15,0,1,98,4076,9,0,4,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2022-04-11,2022-04-11,00:00:00,0,Paddington,11,0,0,35,833,3,0,4,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2022-04-12,2022-04-12,00:00:00,0,Bank,12,0,0,92,2686,8,1,4,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2022-04-13,2022-04-13,00:00:00,0,Southwark,8,0,0,49,1548,6,1,4,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False
2022-04-15,2022-04-15,00:00:00,0,King's Cross St Pancras,12,0,0,47,1451,5,0,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-04-16,2022-04-16,00:00:00,0,Euston,8,0,1,138,3521,10,0,4,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2022-04-17,2022-04-17,00:00:00,0,Southwark,9,0,1,21,363,4,0,4,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False
2022-04-19,2022-04-19,00:00:00,0,Farringdon,13,0,0,30,712,4,1,4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
2022-04-20,2022-04-20,00:00:00,0,Southwark,14,0,0,56,1127,6,0,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2022-04-21,2022-04-21,00:00:00,0,King's Cross St Pancras,10,0,0,66,795,6,0,4,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
2022-04-22,2022-04-22,00:00:00,0,Farringdon,17,0,0,36,712,3,0,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-04-23,2022-04-23,00:00:00,0,Covent Garden,9,0,1,21,355,2,0,4,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2022-04-24,2022-04-24,00:00:00,0,Whitechapel,12,0,1,48,970,6,0,4,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
2022-04-25,2022-04-25,00:00:00,0,St Pancras,11,0,0,20,183,3,0,4,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2022-04-26,2022-04-26,00:00:00,0,Whitechapel,13,0,0,70,3011,7,0,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2022-04-27,2022-04-27,00:00:00,0,Liverpool Street,20,0,0,51,2265,5,0,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2022-04-28,2022-04-28,00:00:00,0,Victoria,22,0,0,26,759,4,0,4,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2022-04-29,2022-04-29,00:00:00,0,King's Cross St Pancras,10,0,0,40,842,3,1,4,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2022-05-01,2022-05-01,00:00:00,0,Borough,20,0,1,82,4075,6,0,5,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
2022-05-03,2022-05-03,00:00:00,0,King's Cross St Pancras,12,0,0,87,2202,7,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2022-05-04,2022-05-04,00:00:00,0,Waterloo,14,0,0,93,987,7,0,5,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
2022-05-05,2022-05-05,00:00:00,0,Southwark,5,0,0,44,1906,3,0,5,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
2022-05-06,2022-05-06,00:00:00,0,Piccadilly Circus,15,0,0,20,886,3,0,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-05-07,2022-05-07,00:00:00,0,London Bridge,13,0,1,26,961,3,0,5,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2022-05-08,2022-05-08,00:00:00,0,Paddington,12,0,1,64,597,5,0,5,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
2022-05-09,2022-05-09,00:00:00,0,Moorgate,8,0,0,44,1413,4,0,5,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2022-05-10,2022-05-10,00:00:00,0,Holborn,10,0,0,67,2755,7,0,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
2022-05-11,2022-05-11,00:00:00,0,Clapham Junction,12,0,0,35,1689,3,1,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
2022-05-12,2022-05-12,00:00:00,0,Clapham Junction,8,0,0,65,2399,5,0,5,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2022-05-13,2022-05-13,00:00:00,0,Covent Garden,10,0,0,131,5731,10,0,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-05-14,2022-05-14,00:00:00,0,Covent Garden,13,0,1,76,3686,8,1,5,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
2022-05-15,2022-05-15,00:00:00,0,Whitechapel,2,0,1,83,2372,7,0,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2022-05-16,2022-05-16,00:00:00,0,Holborn,7,0,0,40,690,3,0,5,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2022-05-17,2022-05-17,00:00:00,0,Whitechapel,14,0,0,79,3497,7,0,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
2022-05-18,2022-05-18,00:00:00,0,Euston,18,0,0,57,2823,5,0,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
2022-05-19,2022-05-19,00:00:00,0,Borough,14,0,0,23,1097,3,0,5,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2022-05-20,2022-05-20,00:00:00,0,St Pancras,11,0,0,46,1711,4,0,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-05-21,2022-05-21,00:00:00,0,Borough,12,0,1,67,2646,6,0,5,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2022-05-22,2022-05-22,00:00:00,0,St Pancras,8,0,1,42,1374,5,0,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2022-05-23,2022-05-23,00:00:00,0,Clapham Junction,11,0,0,55,1987,4,0,5,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2022-05-24,2022-05-24,00:00:00,0,Borough,1,0,0,68,693,6,0,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2022-05-25,2022-05-25,00:00:00,0,Holborn,12,0,0,50,2014,5,1,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
2022-05-26,2022-05-26,00:00:00,0,Euston,12,0,0,42,832,4,0,5,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False
2022-05-27,2022-05-27,00:00:00,0,King's Cross St Pancras,12,0,0,21,591,3,0,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2022-05-28,2022-05-28,00:00:00,0,Borough,15,0,1,51,2119,5,0,5,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2022-05-31,2022-05-31,00:00:00,0,Stratford,12,0,0,40,1402,4,0,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
2022-06-01,2022-06-01,00:00:00,0,Bank,16,0,0,56,1549,4,1,6,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
2022-06-02,2022-06-02,00:00:00,0,Whitechapel,19,0,0,65,2551,6,0,6,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2022-06-04,2022-06-04,00:00:00,0,Holborn,19,0,1,59,1783,5,1,6,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
2022-06-05,2022-06-05,00:00:00,0,Holborn,24,0,1,88,925,7,1,6,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
2022-06-06,2022-06-06,00:00:00,0,King's Cross St Pancras,23,0,0,46,854,5,0,6,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
2022-06-07,2022-06-07,00:00:00,0,Waterloo,15,0,0,74,3317,7,0,6,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
2022-06-08,2022-06-08,00:00:00,0,Vauxhall,10,0,0,53,1166,5,0,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2022-06-09,2022-06-09,00:00:00,0,Waterloo,21,0,0,21,689,4,0,6,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
2022-06-11,2022-06-11,00:00:00,0,St Pancras,17,0,1,127,3009,11,0,6,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
2022-06-12,2022-06-12,00:00:00,0,King's Cross,15,0,1,20,483,4,0,6,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2022-06-13,2022-06-13,00:00:00,0,Angel,23,0,0,58,2286,5,0,6,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2022-06-15,2022-06-15,00:00:00,0,Piccadilly Circus,15,0,0,66,2853,5,1,6,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
2022-06-16,2022-06-16,00:00:00,0,Covent Garden,17,0,0,58,2373,5,1,6,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
2022-06-17,2022-06-17,00:00:00,0,Whitechapel,16,0,0,20,788,4,0,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-06-18,2022-06-18,00:00:00,0,Stratford,16,0,1,20,287,4,0,6,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2022-06-19,2022-06-19,00:00:00,0,Baker Street,18,0,1,139,4955,12,0,6,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
2022-06-20,2022-06-20,00:00:00,0,Old Street,19,0,0,131,5159,11,1,6,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
2022-06-21,2022-06-21,00:00:00,0,Old Street,17,0,0,35,320,5,1,6,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
2022-06-22,2022-06-22,00:00:00,0,St Pancras,20,0,0,46,1637,4,1,6,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
2022-06-23,2022-06-23,00:00:00,0,Euston,21,0,0,72,1722,5,1,6,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
2022-06-24,2022-06-24,00:00:00,0,Euston,19,0,0,24,1144,4,0,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-06-25,2022-06-25,00:00:00,0,King's Cross,11,0,1,85,3714,7,0,6,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2022-06-26,2022-06-26,00:00:00,0,Borough,17,0,1,74,1773,5,0,6,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
2022-06-27,2022-06-27,00:00:00,0,Holborn,13,0,0,85,2412,7,0,6,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
2022-06-28,2022-06-28,00:00:00,0,Angel,12,0,0,82,1586,6,0,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2022-06-29,2022-06-29,00:00:00,0,Liverpool Street,18,0,0,73,1445,6,0,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2022-06-30,2022-06-30,00:00:00,0,Southwark,18,0,0,23,316,4,0,6,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
2022-07-01,2022-07-01,00:00:00,0,Elephant & Castle,20,0,0,24,488,2,0,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022-07-02,2022-07-02,00:00:00,0,Stratford,22,0,1,21,897,2,0,7,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False
2022-07-03,2022-07-03,00:00:00,0,Farringdon,23,0,1,171,4662,13,1,7,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
2022-07-04,2022-07-04,00:00:00,0,Moorgate,16,0,0,37,341,5,0,7,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
